webpageID,og:type,salestype,country,language,categorypath,tooltip,ui-tabs-panel
000415_,product,franchise,us,en,laptops, , 
000420_,category,product_category,us,en,enterprise-products, , 
000424_,product,franchise,us,en,enterprise-products, , 
000427_,product,franchise,us,en,laptops, , 
000428_,product,franchise,us,en,enterprise-products, , 
000430_,category,franchise,us,en,desktops, , 
000432_,product,franchise,us,en,laptops, , 
000433_,product,franchise,us,en,desktops, , 
000436_,product,franchise,us,en,enterprise-products, , 
000437_,category,product_category,us,en,enterprise-products, , 
000438_,document, , ,en,document_, , 
000439_,category,franchise,us,en,desktops, , 
000440_,category,franchise,uk,en,desktops, , 
000442_,product,franchise,us,en,laptops, , 
000443_,product,franchise,us,en,desktops, , 
000444_,category,parent_product_category,us,en,all-products, , 
000445_,product,franchise,us,en,enterprise-products, , 
000455_,product,franchise,us,en,enterprise-products, , 
000456_,product,franchise,us,en,enterprise-products, , 
000459_,category,product_category,us,en,laptops, , 
000462_,product,franchise,us,en,desktops, , 
000463_,product,franchise,us,en,cloud-client-computing, , 
000464_,product,franchise,us,en,desktops, , 
000469_,category,product_category,us,en,desktops, , 
000471_,product,franchise,us,en,desktops, , 
000473_,category,franchise,us,en,server-storage-solutions, , 
000479_,product,franchise,us,en,enterprise-products, , 
000484_,category,product_category,us,en,desktops, , 
000491_,product,franchise,us,en,enterprise-products, , 
000494_,product,franchise,us,en,laptops, , 
000495_,category,config_category,us,en,other-product, , 
000497_,category,config_category,us,en,deals, , 
000499_,category,config_category,us,en,other-product, , 
000501_,category,franchise,us,en,laptops, , 
000503_,product,franchise,us,en,laptops, , 
000504_,category,config_category,us,en,deals, , 
000507_,product,franchise,us,en,laptops, , 
000508_,product,franchise,us,en,software, , 
000509_,category,product_category,uk,en,enterprise-products, , 
000510_,category,product_category,us,en,enterprise-products, , 
000513_,product,franchise,us,en,laptops, , 
000515_,category,product_category,au,en,enterprise-products, , 
000517_,category,config_category,uk,en,other-product, , 
000519_,product,franchise,us,en,cloud-client-computing, , 
000524_,website, , , ,other-product, , 
000526_,category,franchise,in,en,desktops, , 
000527_,product,franchise,us,en,laptops, , 
000528_,product,franchise,us,en,cloud-client-computing, , 
000529_,product,franchise,us,en,laptops, , 
000534_,category,franchise,us,en,laptops, , 
000538_,product,franchise,us,en,laptops, , 
000542_,category,franchise,au,en,laptops, , 
000546_,document, , ,en,document_, , 
