webpageID,og:type,pagetype,salestype,country,language
033004_,product,product,franchise,us,en
033144_,product,product,franchise,us,en
033166_,product,product,parent_product_category,us,en
033177_,document,,,,en
033267_,category,category,config_category,us,en
033276_,document,,,,en
033291_,category,category,product_category,us,en
033322_,document,,,,en
033355_,product,product,franchise,us,en
033446_,category,category,franchise,us,en
033479_,product,product,franchise,us,en
033630_,category,category,franchise,us,en
033932_,product,product,franchise,us,en
034061_,product,product,franchise,us,en
034175_,document,,,,en
034253_,,,,,en
034500_,document,,,,en
034568_,product,product,franchise,us,en
034628_,document,,,,en
034792_,,,,,en
035072_,product,product,franchise,us,en
035102_,category,category,parent_product_category,us,en
035138_,product,product,franchise,us,en
035214_,product,product,franchise,us,en
035503_,document,,,,en
035717_,document,,,,en
035775_,category,category,franchise,us,en
035784_,document,,,,en
035981_,product,product,franchise,us,en
035984_,document,,,,en
036028_,document,,,,en
036040_,product,product,franchise,us,en
036207_,document,,,,en
036318_,product,product,franchise,us,en
036454_,product,product,franchise,us,en
036842_,document,,,,en
037077_,document,,,,en
037090_,document,,,,en
037212_,product,product,franchise,us,en
037329_,document,,,,en
037548_,category,category,parent_product_category,us,en
037581_,product,product,franchise,us,en
037705_,product,product,franchise,us,en
037740_,,,,,en
037795_,category,category,product_category,us,en
037818_,product,product,franchise,us,en
037867_,document,,,,en
037869_,document,,,,en
037952_,category,category,product_category,us,en
038000_,product,product,parent_product_category,us,en
038024_,product,product,franchise,us,en
038080_,product,product,franchise,us,en
038138_,category,category,config_category,us,en
038149_,category,category,product_category,us,en
038187_,,,,,en
038230_,product,product,franchise,us,en
038251_,document,,,,en
038286_,product,product,franchise,us,en
038301_,product,product,franchise,us,en
038323_,document,,,,en
038446_,document,,,,en
038462_,product,product,franchise,us,en
038533_,document,,,,en
038594_,product,product,franchise,us,en
038727_,,,,,en
038873_,document,,,,en
038910_,document,,,,en
039057_,product,product,franchise,us,en
039267_,category,category,parent_product_category,us,en
039391_,document,,,,en
039504_,category,category,config_category,us,en
039516_,category,category,parent_product_category,us,en
039676_,document,,,,en
040081_,document,,,,en
040148_,document,,,,en
040170_,document,,,,en
040291_,document,,,,en
040464_,product,product,franchise,us,en
040472_,category,category,product_category,us,en
040482_,product,product,franchise,us,en
040575_,document,,,,en
040577_,,,,,en
040925_,,,,,en
,,,,,
041128_,document,,,,en
041181_,product,product,franchise,us,en
041285_,document,,,,en
041504_,document,,,,en
041591_,category,category,config_category,us,en
041719_,product,product,franchise,us,en
041736_,category,category,franchise,us,en
041820_,product,product,franchise,us,en
041841_,document,,,,en
041929_,document,,,,en
041992_,document,,,,en
042021_,category,category,parent_product_category,us,en
042049_,product,product,franchise,us,en
042060_,product,product,franchise,us,en
042081_,product,product,franchise,us,en
042124_,document,,,,de
042217_,documentsearch,,,,en
042228_,product,product,franchise,us,en
042430_,category,category,parent_product_category,us,en
042432_,document,,,,en
042453_,product,product,franchise,us,en
